scene_number,location,description,cast_id,costume_notes,hair_makeup,prosthetics,key_props,props,set_dressing,extras,picture_vechiles,production,special_professionals,sfx,vfx,special_equipments,notes,timeofday,int_ext
30C,VIDHYA HOUSE / BEDROOM,"INT. VIDHYA HOUSE / BEDROOM - NIGHT
30C
Arjun sneaks into Vidhya’s bedroom; she’s listening to music 
on her walkman. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,INT
30D,UNIVERSITY / CAFETERIA,"I/E. UNIVERSITY / CAFETERIA - DAY
30D
Arjun is sitting at the university cafe talking to his 
friends and smoking. Vidhya comes and sits on his lap with a 
soft drink. His friends are used to this but the shop owner 
is conscious about it. Arjun and Vidhya don’t mind. Arjun and 
Vidhya feed each other.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,I/E
31,VIDHYA HOUSE,"INT. VIDHYA HOUSE - DAY
31
As the song continues, Arjun sits on the sofa, with Bali sir 
in Vidhya’s house. Mother Sravanti sits with them while 
Vidhya talks to her father K. Krishna Rao. 
Arjun and Bali Sir look clueless as they can’t understand a 
word of Vidhya and her father’s conversation. Their 
expressions change as per the intensity of the conversation. 
KRISHNA RAO
Vidhya no... ittanu maa family lo? 
Assal kudaradu?
VIDHYA
Nana... ittan gurunchi meeku emi 
telayidu guda... you don’t even 
know him... oka chance aine 
ivvandi.
KRISHNA RAO
Mottam family ki em chhaputa 
Vidhya? Alochinchawa... I’M NOT 
EVEN BRINGING UP THE FACT THAT HE’S 
NOT FROM THE SAME COMMUNITY. 
Arjun and Bali sir try to understand. 
KRISHNA RAO (CONT'D)
Em chestaadu? Cricket aa? oka 
sarayina job guda ledu? nella ki 
enta sampadistadu? Ask him to find 
a decent job. 
VIDHYA
(angry)
Nana!! Ent iddi? I don’t want Arjun 
to change anything for me... 
(MORE)
37.
FOR AD TEAM
VIDHYA (CONT'D)
38.
wo jaisa hai, jo karta hai I love 
him for it. 
Bali tries to calm down the situation.
BALI
Oh na na... mitti pao puttar... 
aaraam se baat kar... papaji hain 
tere. Aur Sir gusse se thodi na koi 
masla suljha hai kabhi... thand 
rakho... Arjun ka toh ji bas ik 
main hi hun duniya mein
KRISHNA RAO
(ignores him)
Aisa hai kya uss mein Vidhya? After 
all ek local cricketer hai... 
future kya hai uss mein... agar 
talent rehta toh ab tak national 
team mein khelta wo.
All of a sudden Bali gets agitated,
BALI
(loud shouting)
Teri teh... kya bake ja raha hai 
madraasi... cricket ka C bhi aata 
hai tujhe? Tujhe pata hai kaisa 
game hai Arjun ka... ek lafz bhi 
aur nikaala na toh yahin kar deni 
teri idli sambhar. 
Arjun pulls Bali sir away.
KRISHNA RAO
What is this? How dare he talk to 
me like that?
Vidhya is left exasperated. 
","['vidhya', 'arjun', 'bali']","['vidhya', 'arjun', 'bali']","['vidhya', 'arjun', 'bali']",,,,,,,,,,,,,DAY,INT
32,CRICKET GROUND,"EXT. CRICKET GROUND - DAY
32
Arjun while doing the routine exercise, notices Vidhya 
sitting with a suitcase in the audience gallery. Arjun runs 
towards the gallery, all sweat sits next to Vidhya, looking 
at the ground,
ARJUN
Kahin ghoomne ja rahi ho kya?
Vidhya looks at Arjun very seriously, Arjun realizes its not 
funny.
VIDHYA (CONT'D)
38.
FOR AD TEAM
39.
ARJUN (CONT'D)
Achha suno... ek ghante mein 
session khatam ho jayega, phir 
shaadi kar lein? 
Vidhya drops to Arjun’s shoulder and hugs his hand, looking 
at the ground.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,EXT
33A,MARRIAGE REGISTRAR OFFICE,"INT. MARRIAGE REGISTRAR OFFICE - DAY
33A
Arjun and Vidhya get married in registrar office. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,INT
33B,PANJAB UNIVERSITY / BOYS HOSTEL,"EXT. PANJAB UNIVERSITY / BOYS HOSTEL - DAY
33B
Arjun comes out of the hostel with his bags and cricket kit. 
All the friends come and see him off as he gets in an auto 
with Vidhya.  
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,EXT
34A,ARJUN HOUSE,"I/E. ARJUN HOUSE - DAY
34A
Arjun and Vidhya come to the new house. It is empty. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,I/E
34B,ARJUN HOUSE,"INT. ARJUN HOUSE - NIGHT
34B
They put a bed sheet on the ground and spend the night.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,NIGHT,INT
34C,ARJUN HOUSE,"EXT. ARJUN HOUSE - NIGHT
34C
Arjun and Vidhya celebrate Diwali.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,EXT
34D,ARJUN HOUSE,"INT. ARJUN HOUSE - NIGHT
34D
Arjun walks in holding his kit bag, hand bandaged. He throws 
the kit bag onto the loft while Vidhya looks on almost 
shocked. 
VIDHYA
Kya hua babu? chot kaise lagi? 
ARJUN
Kuchh nahi.(pause) Vidhya, main 
cricket chhor raha hoon
VIDHYA
Kya? Cricket is your life Arjun!
ARJUN
Tum ho na, kaafi hai mere liye..
39.
FOR AD TEAM
40.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,INT
34E,ARJUN HOUSE,"I/E. ARJUN HOUSE - DAY
34E
Vidhya receives a letter from the postman. Arjun reads out 
his acceptance letter and smiles at Vidhya. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,I/E
34F,FCI / GODOWN,"INT. FCI / GODOWN - DAY
34F
March, 1987 : Arjun gets a job at the FOOD CORPORATION OF 
INDIA Godown. He starts going for the job. He is checking the 
foodgrains in the gunny bag with an Assistant. Vidhya 
surprises him by bringing packed lunch. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,INT
34F.1,FCI / GODOWN,"EXT. FCI / GODOWN - DAY
34F.1
Both of them are sitting inside a truck with their legs 
dangling outside, enjoying the meal together. 
",[],[],[],,,,,,,,,,,,,DAY,EXT
34G,ARJUN HOUSE,"I/E. ARJUN HOUSE - DAY
34G
Slowly many other things come into the house, neighbors and 
friends (Amrit) helping them to setup the house. 
May, 1987 : Arjun is smoking outside the house when a tempo 
arrives with a new sofa. Arjun stubs the cigarette and tries 
to lift the sofa. Amrit sees Arjun and helps him carry it 
inside the house. All of them have a conversation over a cup 
of tea and snacks prepared by Vidhya.  
","['vidhya', 'arjun', 'amrit']","['vidhya', 'arjun', 'amrit']","['vidhya', 'arjun', 'amrit']",,,,,,,,,,,,,DAY,I/E
34H,ARJUN HOUSE,"INT. ARJUN HOUSE - NIGHT
34H
-OMITTED- 
The power goes off. Arjun and Vidhya light a candle or two. 
They are eating dinner and feeding each other.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,INT
34I,ARJUN HOUSE/ STOREROOM,"INT. ARJUN HOUSE/ STOREROOM - NIGHT
34I
July, 1989 : Vidhya is pregnant. Arjun and Vidhya share a 
moment together. 
 Arjun is reading a book to the child or is talking. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,INT
34Jpt1,HOSPITAL / CORRIDOR,"INT. HOSPITAL / CORRIDOR - DAY
34Jpt1
Oct, 1989 : Arjun is waiting in the corridor. A lady doctor 
comes out and hands him his baby. 
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,DAY,INT
34Jpt2,HOSPITAL/ MATERNITY HALL,"INT. HOSPITAL/ MATERNITY HALL - DAY
34Jpt2
40.
FOR AD TEAM
41.
Arjun goes inside the room and the lady doctor hands him his 
baby. He sits next to Vidhya on the stretcher. 
VIDHYA
(imitates him)
Pehlaan kaun? main ya kittu?
ARJUN
Tum. 
Vidhya pulls him and kisses him. 
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,DAY,INT
34K,ARJUN HOUSE,"INT. ARJUN HOUSE - DAY
34K
-OMITTED- 
He struggles with baby’s cleaning etc. Vidhya laughs.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,INT
34L,ARJUN HOUSE / HALL,"INT. ARJUN HOUSE / HALL - NIGHT
34L
Feb, 1990 : Vidhya cuts her birthday cake. Arjun sings “Happy 
Birthday” but she asks him to keep it down.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,NIGHT,INT
34M,ARJUN HOUSE / BEDROOM,"INT. ARJUN HOUSE / BEDROOM - DAY
34M
Feb, 1992 : Arjun tries to make the baby stop crying. Vidhya 
steps out of the washroom more dressed up than usual, running 
her hand through her wet hair. Arjun notices and realizes 
that he has forgotten Vidhya’s birthday. He steps out of the 
room. Vidhya is standing in front of the mirror, getting 
ready when she sees Arjun standing behind her with a Dairy 
Milk. She turns around, he hands her the chocolate and she 
hugs him. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,INT
34N,ARJUN HOUSE / HALL,"INT. ARJUN HOUSE / HALL - DAY
34N
Feb 1994 : Arjun walks out of his bedroom, trying to fix a 
cassette. Vidhya realizes Arjun has forgotten her birthday. 
Kittu hands Vidhya a handmade “Happy Birthday” card. 
-OMITTED-
34O
Vidhya is happily packing carriage 
41.
FOR AD TEAM
42.
-OMITTED-
34P
Family watches TV
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,DAY,INT
34Q,ARJUN HOUSE/BEDROOM,"INT. ARJUN HOUSE/BEDROOM - NIGHT
34Q
Nov, 1996 : Arjun, Kittu and Vidhya are sleeping on the same 
bed. 
(The whole bed montage to show the passage of time with Kittu 
sleeping between his parents)
PBS MONTAGE ENDS
PRESENT - 1996
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,NIGHT,INT
35,5 STAR HOTEL,"EXT. 5 STAR HOTEL - DAY
35
Close shot of Vidhya on the bike, looking at Arjun. They 
reach the hotel, Vidhya gets down from the bike and tells 
Arjun,
VIDHYA
Aaj lawyer ko mil lena pakka.
Arjun just nods his head and rides away. 
Vidhya looks at Arjun as he leaves.
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,EXT
36,5 STAR HOTEL / RECEPTION,"INT. 5 STAR HOTEL / RECEPTION - DAY
36
Vidhya rushes in to the hotel. Her supervisor stands briefing 
all the other staff. 
SUPERVISOR
International delegates are coming 
for this conference, make sure 
there are no mistakes. 
VIDHYA
Good morning sir.
SUPERVISOR
What time is it Vidhya?
VIDHYA
Sorry sir... raat bhar ghar mein 
light nahi thi aur...
42.
FOR AD TEAM
(MORE)
43.
SUPERVISOR
(cuts in)
Enough of your excuses. I’m not 
interested in your problems. Aur 
itne problems hain toh naukri 
chhoro aur ghar baitho.   
VIDHYA
Sorry sir. 
Vidhya is lost in thought. Her colleague walks upto her.
SIMRAN
Chhor na Vidhya... iska toh pata hi 
hai.
Vidhya just nods. 
",['vidhya'],['vidhya'],['vidhya'],,,,,,,,,,,,,DAY,INT
37,5 STAR HOTEL / STAFF AREA,"INT. 5 STAR HOTEL / STAFF AREA - DAY
37
Vidhya and Simran collect their stuff from the staff area. 
SIMRAN
Phir ladai hui hai kya?
Vidhya walks with her colleague.
",['vidhya'],['vidhya'],['vidhya'],,,,,,,,,,,,,DAY,INT
37B,5 STAR HOTEL,"EXT. 5 STAR HOTEL - DAY
37B
Vidhya and Simran are walking outside the hotel. Two guests 
pass by and wish them “Good Morning.” Vidhya and Simran wish 
“Good Morning” back. They continue to walk. 
VIDHYA
Ladai toh dono taraf se hota hai. 
(par) Hamaare ghar mein main hi 
gussa karti hoon, main hi chillati 
hoon. Phir main hi roti hoon. 
",['vidhya'],['vidhya'],['vidhya'],,,,,,,,,,,,,DAY,EXT
37C,5 STAR HOTEL/KITCHEN,"INT. 5 STAR HOTEL/KITCHEN - DAY
37C
Vidhya and Simran are standing in the kitchen, having coffee 
during their break. 
VIDHYA
Shaadi ke pehle, he was not like 
this. Kabhi kabhi mere ko lagta 
hai, ye sab mere wajeh se hi hua. 
Ghar pe tension tha toh maine Arjun 
pe pressure daala... Family, ghar 
and all those responsibilities... 
(MORE)
43.
FOR AD TEAM
VIDHYA (CONT'D)
44.
Aur ek din, he just left cricket. 
You know, I feel Arjun ne cricket 
nahi chhora... actually usne mere 
wale arjun ko hi chhor diya. 
Vidhya goes silent. 
","['vidhya', 'arjun']","['vidhya', 'arjun']","['vidhya', 'arjun']",,,,,,,,,,,,,DAY,INT
38,COURT,"EXT. COURT - DAY
38
Shot of Lassi being poured from one glass to another. Arjun 
is sitting while Amrit is standing at the Lassi stall, 
sipping on lassi from a glass. Amrit looks at Arjun’s lassi 
glass. 
AMRIT
Aincho... teri lassi mein itti moti 
moti malai... tere toh vaare nyaare 
hain mitra!  
Arjun gives a frustrated look,
ARJUN
Aincho, Naukri se laat pade do saal 
ho gaye... ghar pe roj da raula hai 
cricket ke alawa hor kuj mainu 
aanda nahin. 5 rupaye ki lassi mein 
chavanni ki malai se mere vaare 
nyaare ho gaye be?
AMRIT
Taan hor ki... meri dekh... aadha 
dudh te baaki paani.
Arjun controls his frustration for a second and asks,
ARJUN
Amrit... thode paise chahiye the 
yaar. Ek maheene mein de dunga 
wapas. 
AMRIT
Wah... bund de siwa bartan nahi te 
uss pe bhi dhakkan nahi... ek baat 
bolun? Mere paas toh iss paani 
jaisi lassi ke bhi paise nahi hain.
Arjun with a shock on his face,
ARJUN
Abey paise the nahi toh lassi ka 
offer diya kyun?
VIDHYA (CONT'D)
44.
FOR AD TEAM
45.
AMRIT
Toh aise fukre se lassi ka offer 
liya kyun? 
Arjun’s face drops. Just then Arjun notices Lawyer Gulati 
standing at a distance talking to a client. He rushes to him, 
as Amrit follows.
Arjun and Amrit are standing beside Lawyer Gulati and his 
assistant, waiting to talk to him. Gulati is busy speaking 
with another client. He notices Arjun and Amrit but ignores 
them. 
GULATI
(to client)
Dekhiye, zamaanat mein thoda waqt 
lag sakta hai magar zameen aapko 
wapis mil jayegi, meri guarantee 
(grantee) hai ji.
Client shakes hands with Gulati and leaves. Gulati looks at 
Arjun and Amrit and walks away along with his assistant. 
Amrit and Arjun follow them. 
ARJUN
Satsriakal sir.
Gulati walks without looking at them. 
GULATI
(after a beat)
Paise le aaya?
ARJUN
Nahi sir.
GULATI
Phir tu tehel ke court, ghar chala 
ja. 
ARJUN
Sir lekin...
GULATI
(points to the intern, 
talking to Amrit)
Ye Preeti Harnoor hai... kal hi 
assistant ki post pe join kiya hai. 
Meri picchli assistant.... Neeru... 
pregnant ho gayi thi na...
Amrit clears his throat.
45.
FOR AD TEAM
46.
GULATI (CONT'D)
Nahin nahin matlab acchi baat hai. 
Vaise mainu toh pata bhi nahi tha 
uski shadi ho rakhi hai. Main toh 
yaad dila raha tha ki jab usne join 
kiya tha, janmon pehle, tab 
bhaisaab miley the. Maine toh tabhi 
bola tha... pachaas hajaar jugaad 
le, teri naukri wapis lagwana mera 
kaam. 2 saal ho gaye... par ye toh 
satyavaadi harishchander hain... 
AMRIT
Sir harishchander ke paas lassi ke 
paise toh hain nahi... toh pachaas 
hajaar kahan se?
ARJUN
(cuts in)
Jab maine ghalti ki hi nahi teh kis 
baat de paise sir? 
GULATI
Haan toh maine kaun se apne liye 
maange hain... tere audit wale, 
inspectors, chartered 
accountants... sabko khila khulu ke 
chavanni bhi haath nahi aani mere. 
Tere saath wale sab payment karke 
salary lene lage hain bhai... par 
tu toh geeta pe haath rakh ke 
baitha hai... samajh kyun nahi aata 
tujhe? Tu samjha kuchh?
AMRIT
Samajh gaya sir. 
Gulati reaches the court and stops. He stands facing the 
boys. 
GULATI
Kya samjha?
AMRIT
Rishwat lene ke iljaam mein naukri 
gayi, ab jab tak rishwat dega 
nahin, tab tak naukri milegi nahin
GULATI
(glares)
Jeb se kangle... par tevar bangle 
wale. wah!
He begins to walk away. 
46.
FOR AD TEAM
47.
ARJUN
Sir... meri naukri...
GULATI
(turns)
Iss saal mein 3 pradhan mantri 
badal gaye... jab unki naukri ka 
koi thikaana nahi tha toh tu kaun 
hai? 
Gulati goes inside the court. Arjun leaves from there in 
frustration, Amrit follows. 
-- OMITTED -- 
39
","['vidhya', 'arjun', 'amrit']","['vidhya', 'arjun', 'amrit']","['vidhya', 'arjun', 'amrit']",,,,,,,,,,,,,DAY,EXT
40,COURT / BIKE PARKING,"EXT. COURT / BIKE PARKING - DAY
40
Arjun in the same mood goes near his bike, and is followed by 
Amrit. Arjun sits on his bike and tries to start it. 
AMRIT
Arjun... ik gall das... paise 
maange kyun the tuney... mergency 
aa gayi koi?
Arjun takes a pause and answers
ARJUN
Kittu ka birthday hai yaar kal... 
Usne mere se jersey mangi hai... 
500 ki hai wo 
AMRIT
Jersey matbal? Wo cricket wali t- 
shirt? 
Arjun nods.
AMRIT (CONT'D)
Le... toh pehle bolna tha na... 
mere jaise purje kab kaam aayenge 
yaara. Chal mere saath... pachaas 
rupaye mein wo duplicate cheej 
dilaunga ke Sachin Tendulkar bhi 
dhokha kha jaaye. Sector 15
ARJUN
Utar... utar neeche
Arjun turns back seriously and says
47.
FOR AD TEAM
48.
ARJUN (CONT'D)
Pher na karna aisi bakwaas. Uski 
nadaan nazar na pehchaane, meri 
aankhein toh jhuk jaani hain na. 
Amrit sits on the bike and says,
AMRIT
Yaar Arjun tu bhi na... ek aur idea 
hai mere kol. Chal. 
Arjun not moving and Amrit insists,
AMRIT (CONT'D)
Chal na... ye wala (idea) accha 
hai, raste mein batata hoon.
","['kittu', 'arjun', 'amrit']","['kittu', 'arjun', 'amrit']","['kittu', 'arjun', 'amrit']",,,,,,,,,,,,,DAY,EXT
41,STATE BANK OF PUNJAB,"EXT. STATE BANK OF PUNJAB - DAY
41
Shot of State Bank of Punjab in the background with Gurmeet 
in the foreground. Track out to reveal Arjun and Amrit 
standing in front of Gurmeet, not saying anything. They wait 
for each other to broach the topic.
GURMEET
Abey aise hi khade rahoge shaam 
tak? Tumhaara pata nahi mujhe bade 
kaam hain.
ARJUN
Gurmeet yaar thode paise chahiye 
the... ikk maheenech wapis de 
dunga.
GURMEET
Kinne?
ARJUN
Paanch sau
GURMEET
Le... bas? Itne toh hone hain mere 
paas.
ARJUN
Kittu da birthday hai yaar.
GURMEET
Oh main koi wajah poochi hai... kya 
yaar tu farmaltiyan badi karta hai.
He checks his wallet
48.
FOR AD TEAM
49.
GURMEET (CONT'D)
Cash ni hai yaar... ek kaam karo... 
ghar jao... Summi se utha lo... 
main phone karta hoon usko.
ARJUN
Summi nai yaar... pichhli baar bhi 
panga pad gaya tha... nai yaar
GURMEET
Abey chhor na... tab kitna jaanti 
thi apne baare wo... kuj vi bol 
gayi si. Dil se na laga... tu ja... 
main phone karta hoon usko
ARJUN
Sun... main kal yahin aake le jaata 
hoon na.
GURMEET
Kal (thinks) Nahin yaar abhi toh 
offsite ke liye ja raha hun 
Kasauli... tu (thinks) parson aake 
le ja
Arjun is lost.
AMRIT
Parson narson nahi... tu phone kar 
de... Summi se le lete hain hum 
abhi. Aur sun tu Kasauli se aaja 
pher (takiya kalam) palty! Chal 
Arjun
Arjun remains fixed to his spot.
ARJUN
Phir Summi yaar! 
","['kittu', 'arjun', 'amrit']","['kittu', 'arjun', 'amrit']","['kittu', 'arjun', 'amrit']",,,,,,,,,,,,,DAY,EXT
42,GURMEET HOUSE,"EXT. GURMEET HOUSE - DAY
42
Amrit, Arjun, Puneet & Lovely stand in front of Gurmeet’s 
house
LOVELY
Lo behencho... andar jaane ki 
himmat nahi pad rahi... paise kaise 
maangenge Summi se? Aur kaun 
maangega?
Amrit turns to realize everyone is looking at him.
49.
FOR AD TEAM
50.
AMRIT
Mere val na dekho...
Arjun comes closer
ARJUN
Sun toh...
AMRIT
(raises his voice)
Main nahi sunna... maine nahi jaana 
yaar... agle pichhle saare hisaab 
la dene hain usne. 
ARJUN
Shhh... Please yaar
AMRIT
Picchli baar ki tatti yaad hai na 
tujhe... wahi mojey mein daal ke 
ghooma deni hai usne
ARJUN
O Har baar same teh nahin hoga na 
Amrit not convinced, Arjun’s face drops
AMRIT
Achha theek hai ab kele ki tarah 
munh na latka... jaata hoon main... 
par tum sab chaloge mere saath. 
Arjun smiles……close shot. 
- CUT TO
","['arjun', 'amrit']","['arjun', 'amrit']","['arjun', 'amrit']",,,,,,,,,,,,,DAY,EXT
43,GURMEET HOUSE,"INT. GURMEET HOUSE - DAY
43
Summi walks in to everyone sitting on the sofa. She bangs a 
plate of ‘dahi bhalle’ in front of them and goes back in.
Arjun contemplates picking up a dahi bhalla but the old lady 
sitting there gestures no. 
AMRIT
Aaj toh kismet bulandiyon pe hai 
teri... lagta hai aasaani se mil 
jaayenge note.
LOVELY
Oye Bhalla... dahi bhalla!
50.
FOR AD TEAM
51.
Amrit picks up a bhalla and mouths it. His expression 
changes.
LOVELY (CONT'D)
Kaisa hai?
Amrit gestures puke. 
Summi inside bedroom, talking to Gurmeet in a cordless phone,
SUMMI
Maine lipstick ke liye kya maang 
liye tuney att chuk di si... Inn 
kanjaron ko toh kabhi mana nahi 
karta tu. Aur rakhe kidhar hain? 
Almaari mein toh hain nahi.
Summi goes to dressing table…..
SUMMI (CONT'D)
Pehle ke dus hajaar jo udhaar le 
rakhe hain inhonein... baba hi 
maalik hai uska.
Wo kutta Amrit... saade paanch 
hajaar ke karje mein dooba hai aur 
aaj 500 maang ke round figure karne 
chala aaya. Shakal se hi sharaabi 
juari lagta hai mujhe...
Summi flipping papers and searching….
SUMMI (CONT'D)
Haan toh suney... mujhe kaun sa 
darr maara hai. Bhainson ko chaara 
daalo toh wo doodh toh deti hain 
palat ke... Ye baelon ka jhund 
chaara bhi khaa jaate hai te dudh 
vi nahi deta.  
Finally Summi finds a cover with money,
SUMMI (CONT'D)
Haan... labb gaye ne paise... karti 
hoon main wapis. 
Summi counts money and goes to the hall to find no one. 
Everyone has left.
- CUT TO
51.
FOR AD TEAM
52.
","['arjun', 'amrit']","['arjun', 'amrit']","['arjun', 'amrit']",,,,,,,,,,,,,DAY,INT
44,SECTOR 17 / HANGOUT PLACE,"EXT. SECTOR 17 / HANGOUT PLACE - NIGHT
44
Big empty market place with lights, Arjun, Puneet and Lovely 
sit on a cement slab next to a tea stall, while Amrit is 
standing. Arjun and Amrit are smoking.
AMRIT
Ye udhaar dene wale na bade money 
minded hote hain... Saadhe paanch 
kaise bol gayi? Paanch ka hi toh 
tha udhaar.(thinks) wo mere vyah 
mein jo paanch sau de gayi thi, wo 
bhi gin liye kya usne? moti... 
mujhe kutta bol rahi thi. 
LOVELY
(thinks)
Oh bike bhi toh hai, isey rakh ke 
loan utha lae.  
AMRIT
Wah! Kya naya idea diya hai! Isne 
nahin socheya hona kanjarey? Loan 
pe hi toh hai bike dus saal se. 
chaabiyan hi hain hamare paas, 
paper saare bank de kol ne. Oh yaar 
paanch sau rupaye ke liye itni 
maara maari kar rahe hain...nikaalo 
bhai kiske paas kitne hain.
Everyone pulls out a meagre sum.
AMRIT (CONT'D)
Le yaara... itne toh rakh baaki 
dekhte hain... buddhe saadhu ka 
paua... old monk... te aadha packet 
cigarette aa jaana hai. Le rakh 
le...
Arjun totally disappointed and as he turns to his right, he 
sees Bali sir riding in and parking his bike. 
AMRIT (CONT'D)
Lo... aa gaye tere buddhe saadhu.
Bali sir walks towards them. 
BALI 
Kahan tha tu Arjun... saare sheher 
di khaak chhaan di tere liye. Tere 
toh vaare nyaare hain
52.
FOR AD TEAM
53.
AMRIT
Sirji same to same yehi bola tha 
maine bhi subah lassi peete hue. 
Mudde pe aao na jaldi.
BALI
(glares at Amrit)
Punjab club vs New zealand da match 
hai bataya tha na... 
Arjun tries to remember.
BALI (CONT'D)
Chai peete hue uss din bataya tha 
na...
Arjun still looks curious……
BALI (CONT'D)
(hiding his smile)
Ek batsman ki jagah khaali hai 
Punjab team mein... toh maine baat 
kar daali.
Arjun’s curiosity grows….
ARJUN
Kya baat kar daali sir?
BALI
Bada samjhaya unko. Charity match 
hai iss karke maane wo, varna nahi 
hona tha.
ARJUN
Sir, aap kya bol rahe ho, samjh 
nahi aa raha mujhe.
Finally Bali manages to control all his emotions, with a 
pointed finger says,
BALI
Tu khel raha hai kal! 
Arjun totally not surprised and not interested moves a little 
away from Bali.
BALI (CONT'D)
Saare board members ne dekhna hai 
kal ka match. Ek baar tera game 
dekh liya na toh assistant coach ki 
post pakki hai samajh. Phir toh 
tuney wahi karna hai jo...
53.
FOR AD TEAM
54.
Arjun finally has to stop Bali, keeps a hand on him
ARJUN
(cuts in)
Bada upkaar hai sir aapka jo tussi 
ye sab kar rahe ho mere vaaste...  
par ik mint meri gall sun lo...
Bali interrupts in-between, shoves Arjun’s hand and says,
BALI
(cuts in)
Kya? Nahi khelna tuney? Kis mauke 
ko mana kar raha hai pata hai 
tujhe?
Arjun remains silent. 
BALI (CONT'D)
Main toh poori umar assistant coach 
hi reh gaya... par tere jaise 
talent ko toh, coach ki position ka 
chance hai.
AMRIT
(walks in)
Saara masla samjh gaya main... do 
mint do sirji.
Amrit takes Arjun a little away from them. Bali with 
frustration shakes his head. 
ARJUN
Kya drama kar raha hai tu?
AMRIT
Drama nai idea hai. Bali sir ke 
paas pakka paise hone hain... mang 
lai.
ARJUN
Nahi yaar... theek nahi lagta ye 
sab.
AMRIT
Sab theek hai yaar... Summi se bada 
tamasha thodi na karenge ye. Chhe 
sau maang le.
ARJUN
Chhe sau kyun?
AMRIT
Sau hum kutton ke
54.
FOR AD TEAM
55.
BALI
(murmurs)
Aise matchon mein log hajaar rupaye 
ki match fees ke liye khelne aate 
hain. Jazbe se khelne wala toh tu 
ek hi hai.
Amrit is shocked to hear this. 
AMRIT
(whispers to Arjun)
Match fees hazaar rupaye oye? 
Arjun and Amrit look at each other. Arjun shakes his head as 
‘no’. Amrit and Arjun turn to Bali. 
AMRIT (CONT'D)
Ye maan gaya Sir! 
Bali with a big smile, excited like a kid,
BALI
Maan gaya? Matlab khelega... ye hui 
na baat!
Bali starts moving towards his bike and talks continuously. 
BALI (CONT'D)
Ghar ja... kit chuk le aur ground 
pe aaja... main bhi kapde kupde 
badal ke wahin milta hoon. Do 
ghante jam ke practice karte hain. 
theek hai phir.
Bali leaves.
AMRIT
O itna na soch... kaun sa 
doordarshan pe hona hai seedha 
prasaran... apni almaari se ek 
square cut te ek cover drive nikaal 
ke maar diyo... hajaar andar... 500 
tere 500 hamaare.
PUNEET
Chalein phir?
AMRIT
Haan... aa jaiyo... hum ground pe 
milte hain tujhe.
Scene ends with slow charge on face of thinking Arjun.
55.
FOR AD TEAM
56.
","['arjun', 'bali', 'amrit']","['arjun', 'bali', 'amrit']","['arjun', 'bali', 'amrit']",,,,,,,,,,,,,NIGHT,EXT
